timestamp,GT11_supply_air_temp_degC,GT21_outdoor_temp_degC
2026-01-12T00:00:00,18.2,5.0
2026-01-12T01:00:00,18.6,3.6
2026-01-12T02:00:00,18.9,2.0
2026-01-12T03:00:00,19.2,0.4
2026-01-12T04:00:00,19.4,-1.0
2026-01-12T05:00:00,19.6,-2.2
2026-01-12T06:00:00,19.8,-3.2
2026-01-12T07:00:00,19.8,-3.8
2026-01-12T08:00:00,19.7,-4.0
2026-01-12T09:00:00,19.6,-3.8
2026-01-12T10:00:00,19.4,-3.2
2026-01-12T11:00:00,19.2,-2.2
2026-01-12T12:00:00,18.9,-1.0
2026-01-12T13:00:00,18.7,0.4
2026-01-12T14:00:00,18.4,2.0
2026-01-12T15:00:00,18.2,3.6
2026-01-12T16:00:00,18.0,5.0
2026-01-12T17:00:00,17.9,6.2
2026-01-12T18:00:00,17.8,7.2
2026-01-12T19:00:00,17.8,7.8
2026-01-12T20:00:00,17.9,8.0
2026-01-12T21:00:00,18.0,7.8
2026-01-12T22:00:00,18.2,7.2
2026-01-12T23:00:00,18.4,6.2
2026-01-13T00:00:00,18.5,5.0
2026-01-13T01:00:00,18.7,3.6
2026-01-13T02:00:00,18.9,2.0
2026-01-13T03:00:00,19.1,0.4
2026-01-13T04:00:00,19.2,-1.0
2026-01-13T05:00:00,19.3,-2.2
2026-01-13T06:00:00,19.3,-3.2
2026-01-13T07:00:00,19.3,-3.8
2026-01-13T08:00:00,19.3,-4.0
2026-01-13T09:00:00,19.3,-3.8
2026-01-13T10:00:00,19.2,-3.2
2026-01-13T11:00:00,19.1,-2.2
2026-01-13T12:00:00,19.0,-1.0
2026-01-13T13:00:00,18.9,0.4
2026-01-13T14:00:00,18.7,2.0
2026-01-13T15:00:00,18.6,3.6
2026-01-13T16:00:00,18.5,5.0
2026-01-13T17:00:00,18.3,6.2
2026-01-13T18:00:00,18.2,7.2
2026-01-13T19:00:00,18.1,7.8
2026-01-13T20:00:00,18.1,8.0
2026-01-13T21:00:00,18.0,7.8
2026-01-13T22:00:00,18.0,7.2
2026-01-13T23:00:00,18.1,6.2
